year,Elsevier-Profits-mGBP,Elsevier-Revenue-mGBP,Wiley-STM-Revenue-mUSD,Wiley-STM-Direct-Contribution-mUSD,Springer-Sales-mEU,Springer-Adjusted-EBITDA-mEU,PLOS-Total-Revenue-mUSD,PLOS-author-fees-net-mUSD
2002,429,1295,NA,NA,NA,NA,NA,NA
2003,467,1381,164.9,71.1,NA,NA,NA,NA
2004,460,1363,178.1,86.3,NA,NA,NA,NA
2005,449,1436,190.5,88.9,NA,NA,NA,NA
2006,465,1521,206,96,920,277,NA,NA
2007,477,1507,222,101,907,271,NA,NA
2008,568,1700,975.8,384.2,859,285,NA,NA
2009,693,1985,969.2,399.2,845,275,NA,NA
2010,724,2026,986.7,405.2,866,294,NA,NA
2011,768,2058,998.9,424.8,875.1,313.3,22.3,21
2012,780,2063,1040.7,452.3,981.1,342.8,34.6,32.6
2013,744,2538,1009.8,420.96,NA,NA,NA,NA
